1 SGM
3 STR
A.Thirumuruganpoondi
A.Vellalapatti
Aadityana
Aambaliyasan
Aantaliya
Aarambhada
Abhayapuri
Abiramam
Abohar
Abrama
Abu Road
Achabal
Achalpur
Achampudur
Acharapakkam
Acharipallam
Achhalda
Achhnera
Achipatti
Adalaj
Adampur
Adari
Adikaratti
Adilabad
Adiramapattinam
Adityapatna
Adityapur
Adoni
Adoor
Adra
Aduthurai alias Maruthuvakudi
Adyar
Afzalgarh
Afzalpur
Agar
Agaram
Agartala
Agarwal Mandi
Agastheeswaram
Agra
Agra
Ahiwara
Ahmadnagar
Ahmadnagar
Ahmadpur
Ahmadpur
Ahmedabad
Ahmedabad Cantonment
Ahmedgarh
Ahraura
Aiho
Ailum
Air Force Area
Aistala
Aizawl
Ajaigarh
Ajhuwa
Ajmer
Ajnala
Ajra
Akalgarh
Akaltara
Akathiyoor
Akbarpur
Akbarpur
Akhnoor
Akkalkot
Akkarampalle
Akkayapalle
Aklera
Akoda
Akodia
Akola
Akot
Alagappapuram
Alampalayam
Alampur
Aland
Alandi
Alandur
Alang
Alanganallur
Alangayam
Alangudi
Alangulam
Alangulam
Alanthurai
Alapakkam
Alappuzha
Alawalpur
Aldona
Ali Pur
Alibag
Aliganj
Aligarh
Alipurduar
Alipurduar Rly.Jnc.
Alirajpur
Allahabad
Allahabad
Allahganj
Allapur
Allapuram
Almora
Almora
Alnavar
Along
Alot
Alpur
Alur
Alur
Aluva
Alwal
Alwar
Alwarkurichi
Alwarthirunagiri
Amadalavalasa
Amalapuram
Amalner
Amanganj
Amanpur
Amarkantak
Amarpatan
Amarpur
Amarpur
Amarwara
Ambad
Ambada
Ambagarh Chowki
Ambah
Ambaji
Ambala
Ambala Cantt.
Ambala Sadar
Ambarnath
Ambasamudram
Ambassa
Ambattur
Ambehta
Ambejogai
Ambikanagara
Ambikapur
Ambikapur Part-X
Ambivali Tarf Wankhal
Ambur
Amet
Amethi
Amethi
Amguri
Amila
Amilo
Aminagar Sarai
Aminagar Urf Bhurbaral
Amini
Amkula
Amla
Amlabad
Amlai
Amli
Amloh
Ammainaickanur
Ammapettai
Ammapettai
Ammavarikuppam
Ammoor
Amodghata
Amraudha
Amravati
Amreli
Amritsar
Amritsar Cantt.
Amroha
Amtala
Anaimalai
Anaiyur
Anaiyur
Anakapalle
Anakaputhur
Anand
Anand Nagar
Anandapur
Anandnagar
Anandpur Sahib
Anantapur
Ananthapuram
Anantnag
Ancharakandy
Andada
Andipalayam
Andipatti Jakkampatti
Andro
Andul
Anekal
Angamaly
Angarpathar
Anjad
Anjangaon
Anjar
Anjugramam
Anklav
Anklesvar
Anklesvar INA
Ankola
Anksa
Ankurhati
Annamalai Nagar
Annavasal
Annigeri
Annur
Anpara
Antah
Antari
Anthiyur
Antu
Anugul
Anup Nagar
Anupgarh
Anuppur
Anupshahr
Aonla
Appakudal
Aquem
Ara
Arachalur
Arakandanallur
Arakonam
Aralvaimozhi
Arambag
Arang
Arani
Arani
Aranthangi
Araria
Arasiramani
Aravakurichi
Aravankad
Arcot
Areraj
Argari
Arimalam
Ariyalur
Ariyappampalayam
Ariyur
Arkalgud
Arki
Armapur Estate
Arnia
Aron
Arookutty
Aroor
Arra
Arrah
Arsikere
Arumanai
Arumbavur
Arumuganeri
Aruppukkottai
Arvi
Asan  Khurd
Asansol
Asarganj
Ashok Nagar
Ashokapuram
Ashoknagar Kalyangarh
Ashrafpur Kichhauchha
Ashta
Ashta
Asifabad
Asika
Asind
Asola
Assandh
Atarra
Atasu
Ateli
Athagad
Athani
Athanur
Athimarapatti
Athipattu
Athmallik
Athni
Athur
Athur
Atrauli
Atraulia
Attayampatti
Attingal
Attur
Atul
Aurad
Auraiya
Aurangabad
Aurangabad
Aurangabad
Aurangabad
Aurangabad
Aurangabad Bangar
Auras
Ausa
Avadattur
Avadi
Avalpoondurai
Avanashi
Avaniapuram
Avinissery
Awagarh
Awantipora
Ayakudi
Aygudi
Ayodhya
Ayothiapattinam
Ayyalur
Ayyampalayam
Ayyampettai
Ayyampettai
Azamgarh
Azhagiapandiapuram
Azhikode North
Azhikode South
Azizpur
Azmatgarh
B. Mallapuram
B. Meenakshipuram
Babai
